H000306,Which king was the son of Ocrisia who had been a prisoner of war in the court of Tarquinius Priscus?,SERVIUS TULLIUS
H000307,Name the mother of Servius Tullius who had been a prisoner of war in the court of Tarquinius Priscus.,OCRISIA
H000308,Which king established the cult of Diana on the Aventine hill?,SERVIUS TULLIUS
H000309,Which diety's cult did Servius Tullius establish on the Aventine hill?,DIANA
H000310,On which hill did Servius Tullius establish the cult of Diana?,AVENTINE HILL
H000311,What daughter of Servius Tullius married Tarquinius Superbus?,TULLIA
H000312,Who helped Tarquinius Superbus kill her father?,TULLIA
H000313,On what road did Tullia ride over her father's body with a chariot?,VIA SCELERATA
H000314,What happened on the Via Scelerata?,TULLIA RAN OVER SERVIUS TULLIUS' BODY WITH A CHARIOT
H000315,Who was the seventh king of Rome?,TARQUINIUS SUPERBUS
H000316,What does `Superbus` mean?,PROUD
H000317,Which king completed the Temple of Jupiter Optimus Maximus on the Capitoline?,TARQUINIUS SUPERBUS
H000318,What is the alternate name of the Temple of Jupiter Optimus Maximus?,TEMPLE OF JUPITER CAPITOLINUS
H000319,Which temple did Tarquinius Superbus complete on the Capitoline?,TEMPLE OF JUPITER OPTIMUS MAXIMUS / CAPITOLINUS
H000320,Which king completed the Cloaca Maxima> Rome's great sewer?,TARQUINIUS SUPERBUS
H000321,What great sewer did Tarquinius Superbus complete?,CLOACA MAXIMA
H000322,What is the Cloaca Maxima?,ROME'S GREAT SEWER SYSTEM
H000323,In what temple were the three Sibylline Books kept?,TEMPLE OF JUPITER OPTIMUS MAXIMUS / CAPITOLINUS
H000324,What is the term for the 3 books of sacred prophecy in Rome?,SIBYLLINE BOOKS
H000325,How many Sibylline books were there originally?,9; NINE
H000326,Why did the Sibyl burn 6 of the original Sibylline Books of prophecy?,TARQUINIUS SUPERBUS REFUSED TO PAY THE PRICE (TWICE)
H000327,What did the Sibyl do each time Tarquinius Superbus refused to pay the price for the Sibylline books?,BURNED 3 OF THEM
H000328,What did the Romans consult in times of great crisis?,SIBYLLINE BOOKS
H000329,What son of Tarquinius Superbus abused royal power by taking advantage of Lucretia> the wife of Collatinus?,SEXTUS TARQUINIUS
H000330,What woman did Sextus Tarquinius take advantage of?,LUCRETIA
H000331,Whp was the husband of Lucretia?,COLLATINUS
H000332,Which two men over threw the Tarquins and became the first consuls of the Republic?,COLLATINUS & LUCIUS JUNIUS BRUTUS
H000333,How did Collatinus and Brutus become the first Roman consuls?,OVERTHREW THE TARQUINS
H000334,Who pretended to be a slow-witted man> but lept into action to help Collatinus overthrow the Tarquins?,(LUCIUS) JUNIUS BRUTUS
H000335,Why did Brutus and Collatinus overthrow the Tarquins?,RAPE OF LUCRETIA
H000336,Whose rape led Brutus and Collatinus to overthrow the Tarquins?,LUCRETIA
H000337,Who became the first two consuls?,(LUCIUS) JUNIUS BRUTUS & COLLATINUS
H000338,What position was given to Junius Brutus and Collatinus at the start of the Republic?,CONSULS
H000339,What Etruscan king tried to capture Rome at the beginning of the Republic?,LARS PORSENNA
H000340,Whose assualt on Rome was twarted by the bravery of Hortaius Cocles at the Pons Sublicius?,LARS PORSENNA
H000341,Who single-handedly defended the Pons Sublicius from the assault of Lars Porsenna?,HORATIUS COCLES
H000342,What bridge did Horatius Cocles single-handedly defend from the assault of Lars Porsenna?,PONS SUBLICIUS
H000343,What does `Cocles` mean?,ONE-EYED
H000344,Who swam in his armor back to Rome after defending the Pons Sublicius from Lars Porsenna?,HORATIUS COCLES
H000345,What does `Scaevola` mean?,LEFT-HANDED / LEFTY
H000346,What Roman held his right hand in a fire to show Lars Porsenna the resolve of the Roman people?,MUCIUS SCAEVOLA
H000347,How did Mucius Scaevola earn his cognomen?,HELD HIS RIGHT HAND IN A FIRE TO SHOW LARS PORSENNA THE ROMANS WOULD NOT SURRENDER
H000348,What Roman woman escaped from Lars Porsenna by swimming across the Tiber?,CLOELIA
H000349,How did Cloelia escape from Lars Porsenna?,SWAM ACROSS THE TIBER (OR RODE ON HORSEBACK)
H000350,What happened to Cloelia after she was returned to Lars Porsenna so that a treaty would not be broken?,HE LET HER GO
H000351,What mythical twins were the sons of Zeus and the brothers of Helen?,CASTOR & POLLUX
H000352,At what battle in 496 BC did the Romans defeat the Latins?,LAKE REGILLUS
H000353,In what year did the Romans defeat the Latins at the Lake Regillus?,496 BC
H000354,What two mythical brothers urged the Romans to victory at Lake Regillus in 496 BC?,CASTOR & POLLUX
H000355,What Roman general was victorious at the Lake Regillus?,POSTUMIUS
H000356,Who built a temple for Castor & Pollux after the Lake Regillus?,POSTUMIUS
H000357,What temple did Postumius build after the Lake Regillus?,TEMPLE OF CASTOR & POLLUX
H000358,What Roman noble was expelled from Rome and came back leading an army of Volscians?,CORIOLANUS
H000359,What tribe did Coriolanus lead against the Romans?,VOLSCI
H000360,How did Gaius Marcius receive the cognomen Coriolanus?,LED A VOLSCIAN TRIBE FROM CORIOLI
H000361,Who led an army of Volscians against the Romans?,CORIOLANUS
H000362,Name the wife and mother of Coriolanus who persuaded him to turn back from his assault.,VETURIA (MOTHER) & VOLUMNIA (WIFE)
H000363,What farmer was called from his plow to be dictator during an invasion of Aequi?,CINCINNATUS
H000364,What tribe's invasion force the Romans to appoint the farmer Cincinnatus as dictator?,AEQUI
H000365,In what year did the Aequi trap a Roman army?,458 BC
H000366,When was a dictator appointed?,WHEN ONE OR BOTH CONSULS WERE KILLED
H000367,How long did a dictator serve?,6 MONTHS; SIX MONTHS
H000368,What dictator returned to his plow after defeating the Aequi in only 16 days?,CINCINNATUS
H000369,How long did it take for Cincinnatus to defeat the Aequi?,16 DAYS; SIXTEEN DAYS
H000370,What did Cincinnatus do after defeating the Aequi?,RETURNED TO HIS PLOW
H000371,What did the Romans call the aristocrats?,PATRICIANS
H000372,What did the Romans call the commoners?,PLEBEIANS
H000373,What is the term for when the plebeians left the city because of unrest between them and the patricians?,SECESSION OF THE PLEBS
H000374,Who delivered a speech about the `belly and the limbs` to convince the plebeians to return to the city?,MENENIUS AGRIPPA
H000375,What did Menenius Agrippa deliver a speech about to convince the plebeians to return to the city?,THE BELLY AND THE LIMBS
H000376,What tribune> in 462 BC> first requested a code of written laws?,TERENTILIUS HARSA
H000377,What bronze tablets of Roman law were inscribed in 450 BC and posted in the Forum for all to see?,TWELVE TABLES
H000378,In what year was the first law code inscribed on bronze tablets and set up in the Forum?,450 BC
H000379,What commission of 10 men chosen to write the Twelve Tables?,DECEMVIRI
H000380,What were the Decemviri appointed to do?,CREATE A CODE OF LAWS
H000381,Who was the leader of the Decemviri?,APPIUS CLAUDIUS
H000382,Which decemvir abused his power by trying to take advantage of the maiden Verginia?,APPIUS CLAUDIUS
H000383,What maiden did the decemvir Appius Claudius try to take advantage of?,VERGINIA
H000384,What happened after Appius Claudius tried to take advantage of Verginia?,SHE KILLED HERSELF
H000385,What law was passed in 445 BC which legalized marriage between patricians and plebeians?,LEX CANULEIA
H000386,In what year did the Lex Canuleia legalize marriage between patricians and plebeians?,445 BC
H000387,Which law made plebiscite (laws passed by the Concilium Plebis) legally binding?,LEX CANULEIA
H000388,What law of 287 BC removed the restriction that plebian laws be approved by the Comitia Centuriata?,LEX HORTENSIA
H000389,What law of 367 BC required at least one consul to be plebeian?,SEXTO-LICINIAN LAW
H000390,What was the major effect of the Sexto-Licinian Law?,AT LEAST ONE CONSUL HAD TO BE PLEBEIAN
H000391,Who was the first plebeian consul?,LUCIUS SEXTIUS
H000392,What office was Lucius Sextius the first plebeian to hold?,CONSUL
H000393,Who was referred to as `The Second Founder of Rome`?,CAMILLUS
H000394,What honorific title was given to Camillus?,THE SECOND FOUNDER OF ROME
H000395,Which Roman led the capure of Veii in 396 BC?,CAMILLUS
H000396,What nearby city did Camillus capture in 396 BC?,VEII
H000397,How did Camillus capture Veii?,TUNNELED UNDER ITS WALLS
H000398,Who tunneled under the walls of Veii to capture the city in 396 BC?,CAMILLUS
H000399,What Gallic chieftain sacked Rome in 390 BC?,BRENNUS
H000400,In what year did Brennus sack Rome?,390 BC
H000401,At what battle in 390 BC did Brennus and the Gauls defeat the Romans?,ALLIA RIVER
H000402,Who defeated the Romans at the Allia River in 390 BC?,BRENNUS
H000403,Where did the Romans retreat to when Brennus captured the city?,CAPITOLINE HILL
H000404,Who alerted Marcus Manlius that the Gauls were climbing the Capitoline Hill?,SACRED GEESE OF JUNO
H000405,Who was alerted by the sacred geese that the Gauls were trying to capture the Capitoline Hill?,MARCUS MANLIUS CAPITOLINUS
H000406,Which goddess' sacred geese alerted the Romans that the Gauls were ascending the Capitoline?,JUNO'S
H000407,What did Brennus say when the Romans complained about false weights on the scale for his ransom money?,VAE VICTIS (`WOE TO THE CONQUERED`)
H000408,Who said `Vae Victis` when the Romans complained about false weights on the scale used to weigh his ransom money?,BRENNUS
H000409,What were the years of the First Samnite War?,343–341 BC
H000410,What war did the Romans fight from 343–341 BC?,FIRST SAMNITE WAR
H000411,What were the years of the Second Samnite War?,327–304 BC
H000412,What war did the Romans fight from 327–304 BC?,SECOND SAMNITE WAR
H000413,What were the years of the Third Samnite War?,298–290 BC
H000414,What war did the Romans fight from 298–290 BC?,THIRD SAMNITE WAR
H000415,What war was a minor conflict in the vicinity of Capua from 343–341 BC?,FIRST SAMNITE WAR
H000416,What war was fought over a disputue at Neapolis from 327–303 BC?,SECOND SAMNITE WAR
H000417,The 2nd Samnite War was fought over a dispute at what city?,NEAPOLIS (NAPLES)
H000418,What is the modern day name of Neapolis?,NAPLES
H000419,What is the ancient name of Naples?,NEAPOLIS
H000420,At what battle in 321 BC did the Samnite force a Roman army to walk under the yoke?,CAUDINE FORKS
H000421,In what year did the Samnites defeat the Romans at the Caudine Forks and force them to walk under the yoke?,321 BC
H000422,What sign of complete surrender did the Samnites force upon the Romans after the Caudine Forks?,WALK UNDER THE YOKE
H000423,At what battle in 315 BC was Fabius Rullianus defeated by the Samnites?,LAUTULAE
H000424,In what year was Fabius Rullianus defeated by the Samnites at Lautulae?,315 BC
H000425,What Roman commander was defeated by the Samnites at Lautulae in 315 BC?,FABIUS RULLIANUS
H000426,Who built a road from Rome to Capua which helped the Romans win the 2nd Samnite War?,APPIUS CLAUDIUS CAECUS
H000427,What does the cognomen `Caecus` mean?,BLIND
H000428,What road did Appius Claudius Caecus build from Rome to Capua during the 2nd Samnite War?,VIA APPIA
H000429,At what battle in 295 BC did Decius Mus spur the Romans to victory by commiting a devotio?,SENTINUM
H000430,In what year did the Romans defeat the Samnites at Sentinum?,295 BC
H000431,Who committed a devotio at Sentinum which spurred the Romans on to victory?,DECIUS MUS
H000432,What is a devotio?,SELF-SACRIFICE
H000433,Who was a famous censor in 312 BC?,APPIUS CLAUDIUS CAECUS
H000434,In what year was Appius Claudius Caecus censor?,312 BC
H000435,What is a censor?,AN OFFICIAL RESPONSIBLE FOR EDITING THE ROLLS OF CITIZENS AND BUILDING ROADS & AQUEDUCTS
H000436,Which official was responsible for editing the rolls of citizens and building roads & aqueducts?,CENSOR
H000437,How many censors served at once?,2; TWO
H000438,How long did censors serve?,18 MONTHS
H000439,How often were censors elected?,EVERY 5 YEARS
H000440,What famous road and aqueduct did Appius Claudius build when he was censor?,VIA APPIA & AQUA APPIA
H000441,To what city was the Via Appia eventually extended?,BRUNDISIUM
H000442,Why did Decius Mus sacrifice himself in battle?,HAD A DREAM THAT THE ARMY WHICH LOST ITS GENERAL WOULD BE VICTORIOUS
H000443,What Greek mercenary from Epirus was hired by Tarentum to fight Rome?,PYRRHUS
H000444,What region of Greece was Pyrrhus from?,EPIRUS
H000445,What city hired Pyrrhus to fight the Romans?,TARENTUM
H000446,Who reportedly said `How easily I could conquer the world> had I the Romans for soldiers> or they me for king`?,PYRRHUS
H000447,Who won battles over the Romans at Heralcea and Asculum but with huge losses of his own men?,PYRRHUS
H000448,At what battle in 280 BC did Pyrrhus defeat the Romans at a high cost?,HERACLEA
H000449,In what year did Pyrrhus earn a costly victory over the Romans at Heraclea?,280 BC
H000450,At what battle in 279 BC did Pyrrhus defeat the Romans at a high cost?,ASCULUM
H000451,In what year did Pyrrhus defeat the Romans at Asculum but at a high cost?,279 BC
H000452,What is the term for a victory which costs more than it is worth?,PYRRHIC VICTORY
H000453,What ambassador of Pyrrhus called the Roman senate an `assembly of kings`?,CINEAS
H000454,What did Cineas call the Roman senate?,AN ASSEMBLY OF KINGS
H000455,Who was Pyrrhus' ambassador?,CINEAS
H000456,At what battle in 275 BC did the Romans defeat Pyrrhus?,MALEVENTUM / BENEVENTUM
H000457,In what year did the Romans defeat Pyrrhus at Beneventum?,275 BC
H000458,What Roman general defeat Pyrrhus at Beneventum in 275 BC?,CURIUS DENTATUS
H000459,Where did Curius Dentatus defeat Pyrrhus in 275 BC?,MALEVENTUM / BENEVENTUM
H000460,What Roman> noted for his austerity and refusal to accept bribes> was the most famous to oppose Pyrrhus?,FABRICIUS
H000461,Who was the first enemy to use elephants against the Romans?,PYRRHUS
H000462,What military innovation was Pyrrhus the first to use against the Romans?,ELEPHANTS
H000463,How did the Romans combat Pyrrhus' elephants?,USED FIERY MISSLES TO SCARE THEM
H000464,What war did the Romans fight from 264–241 BC?,1ST PUNIC WAR
H000465,What were the years fo the First Punic War?,264–241 BC
H000466,Where did the Carthaginians originate from?,PHOENICIA
H000467,The First Punic War broke out because of a conflict with Carthage over what island?,SICILY
H000468,What Sicilian city did the Romans besiege in 262 BC?,AGRIGENTUM
H000469,What kind of Carthaginian ship did the Romans first model their navy on?,QUINQUEREME
H000470,What is a quinquereme?,A SHIP WITH FIVE BANKS OF OARS
H000471,In what year did the Romans besiege Agrigentum?,262 BC
H000472,What group of Campanian mercenaries overran Messana after abandoning their agreement to fight for the Syracusans?,MAMERTINES
H000473,What does `Mamertines` mean?,MEN OF MARS
H000474,What Sicilian city did the Mamertines overrun after abandoning their agreement to fight for Syracuse?,MESSANA
H000475,Who did the Mamertines appeal to for help against the Syracusans?,CARTHAGE
H000476,When Carthage refused to leave Messana> who did the Mamertines appeal to for help?,ROME
H000477,Why did the Mamertines appeal to Rome for help?,TO MAKE CARTHAGE LEAVE MESSANA
H000478,What Sicilian city did the Romans besiege in 264 BC?,MESSANA
H000479,The seige of what city in 264 BC began the First Punic War?,MESSANA
H000480,In what year did the Romans besiege Messana?,264 BC
H000481,What Roman admiral won Rome's first major naval battle at Mylae in 260 BC?,DUILIUS
H000482,At what battle in 260 BC did the Rome win its first major naval battle against the Carthaginians?,MYLAE
H000483,In what year did the Rome win its first major naval battle at Mylae?,260 BC
H000484,What grappling hook attached to a plank did the Romans use to board enemy ships?,CORVUS
H000485,What is a `corvus`?,GRAPPLING HOOK ATTACHED TO A PLANK
H000486,What device did the Romans use to board Carthaginian ships and produce hand to hand combat?,CORVUS
H000487,At what battle in 256 BC did Regulus and the Romans defeat the Carthaginian navy?,CAPE ECNOMUS
H000488,In what year did Regulus defeat the Carthaginians at Cape Ecnomus?,256 BC
H000489,What was Regulus' strategy after winning at Cape Ecnomus?,ATTACK CARTHAGE
H000490,What Spartan mercenary defeated and captured Regulus at the Bagradas Valley in 255 BC?,XANTHIPPUS
H000491,At what battle in 255 BC did the Spartan mercenary Xanthippus help the Carthaginians defeat and capture Regulus?,BAGRADAS VALLEY
H000492,What Spartan mercenary did the Carthaginians hire to assist against the Romans?,XANTHIPPUS
H000493,What Roman was captured after the Bagradas Valley?,REGULUS
H000494,In what year did the Carthaginians led by Xanthippus defeat Regulus and the Romans?,255 BC
H000495,What Roman did the Carthaginians release on the condition that he return to Carthage with acceptable peace terms?,REGULUS
H000496,What happened when Regulus returned to Carthage after refusing to negotiate peace terms with the Romans?,HE WAS EXECUTED
H000497,At what battle in 249 BC was the Roman admiral Claudius Pulcher defeated by the Carthaginians?,DREPANA
H000498,In what year was Claudius Pulcher defeated by the Carthaginians at Drepana?,249 BC
H000499,Who threw the sacred chickens overboard before the Drepana because they refused to eat?,CLAUDIUS PULCHER
H000500,Why did Claudius Pulcher throw the sacred chickens overboard before the Drepana?,THEY REFUSED TO EAT
H000501,Who reportedly said `if they won't eat> let them drink` before he threw the sacred chickens overboard?,CLAUDIUS PULCHER
H000502,What did Claudius Pulcher say before he threw the sacred chickens overboard when they refused to eat?,IF THEY WON'T EAT> LET THEM DRINK
H000503,At what battle in 241 BC did the Romans defeat the Carthaginians and end the First Punic War?,AEGATES ISLANDS
H000504,In what year did the Lutatius Catulus defeat the Carthaginians at the Aegates Islands and end the First Punic War?,241 BC
H000505,What Roman admiral defeated Carthage at the Aegates Islands and ended the First Punic War?,LUTATIUS CATULUS
H000506,What island did Rome gain control of at the end of the First Punic War?,SICILY
H000507,What does the name `Barca` mean in Carthaginian?,BLITZ / LIGHTNING
H000508,During the First Punic War who was the most brilliant Carthaginian general?,HAMILCAR BARCA
H000509,What city in Spain is named after Hamilcar Barca?,BARCELONA
H000510,Who led the effort to rebuild the Carthaginian strength after the First Punic War?,HAMILCAR BARCA
H000511,What Carthaginian made his young son Hannibal swear eternal hatred for Rome in return for the opportunity to join his father's military exploits?,HAMILCAR BARCA
H000512,What war did the Romans fight from 218–202 BC?,SECOND PUNIC WAR
H000513,What were the years of the Second Punic War?,218–202 BC
H000514,What war began when Carthage crossed the Ebro River in Spain to attack Saguntum?,SECOND PUNIC WAR
H000515,What river in Spain did Carthage cross to attack Saguntum?,EBRO RIVER
H000516,What treaty from 226 BC did the Carthaginians break by attacking Saguntum?,EBRO RIVER TREATY
H000517,In what year did Rome and Carthage establish the Ebro River Treaty?,226 BC
H000518,What city did Carthage beseige in 219 BC to begin the Second Punic War?,SAGUNTUM
H000519,What Carthaginian negotiated the Ebro River Treaty with Rome in 226 BC?,HASDRUBAL
H000520,What enemy of Rome crossed the Alps with 37 war elephants in 219 BC?,HANNIBAL
H000521,At what battle in 218 BC did Hannibal defeat Publius Cornelius Scipio and the Romans?,TICINUS RIVER
H000522,In what year did Hannibal defeat Publius Cornelius Scipio and the Romans at the Ticinus River?,218 BC
H000523,Who saved his father in battle at the Ticinus River in 218 BC?,SCIPIO AFRICANUS
H000524,At what battle in 218 BC did Hannibal defeat Sempronius Longus and the Romans?,TREBIA RIVER
H000525,In what year did Hannibal defeat Sempronius Longus at the Trebia River?,218 BC
H000526,After his victory at the Ticinus River> where did Hannibal defeat the forces of Sempronius Longus?,TREBIA RIVER
H000527,At what battle in 217 BC did Hannibal entrap and defeat Flaminius and the Romans?,LAKE TRASIMENE
H000528,In what year did Hannibal entrap and defeat Flaminius at Lake Trasimene?,217 BC
H000529,What Roman general was defeated by Hannibal at Lake Trasimene in 217 BC?,FLAMINIUS
H000530,At what battle in 216 BC did Hannibal issues the Romans their worst ever defeat?,CANNAE
H000531,In what year did Hannibal defeat 80>000 Romans at Cannae?,216 BC
H000532,What two generals were horribly defeated by Hannibal at Cannae in 216 BC?,PAULUS & VARRO
H000533,How did Hannibal defeat the Romans at Cannae?,DREW THE ROMANS INTO THE CENTER AND SURROUNDED THEM
H000534,Which consul died in battle at Cannae in 216 BC?,AEMILIUS PAULUS
H000535,What Roman dictator was known as `the delayer`?,QUINTUS FABIUS MAXIMUS CUNCTATOR
H000536,What Roman dictator was known as `the shield of Rome`?,QUINTUS FABIUS MAXIMUS CUNCTATOR
H000537,After Rome's early catastrophic defeats to Hannibal who was made dictator?,QUINTUS FABIUS MAXIMUS CUNCTATOR
H000538,What was Quintus Fabius Maximus' strategy against Hannibal?,STAY CLOSE AND HARASS HIM BUT AVOID ALL OUT BATTLE
H000539,Who adopted a delaying strategy and avoided all out battle with Hannibal when he was appointed dictator?,QUINTUS FABIUS MAXIMUS CUNCTATOR
H000540,What does `Cunctator` mean?,THE DELAYER
H000541,Who was referred to as `the sword of Rome`?,MARCELLUS
H000542,What Roman general captured Syracuse in Sicily in 211 BC?,MARCELLUS
H000543,What Sicilian city did Marcellus capture in 211 BC?,SYRACUSE
H000544,What Syracusan engineer attempted to defend the city from the Romans?,ARCHIMEDES
H000545,What are the Spolia Opima?,RICHEST SPOILS WON BY A GENERAL WHO DEFEATED THE OPPOSING GENERAL IN SINGLE COMBAT
H000546,What award was given to a general who defeated the opposing general in single combat?,SPOLIA OPIMA
H000547,Who was the third and final Roman to win the Spolia Opima?,MARCELLUS
H000548,Who won the Spolia Opima by defeating Viridomarus in single combat at Clastidium in 222 BC?,MARCELLUS
H000549,Who did Marcellus defeat in single combat to win the Spolia Opima in 222 BC?,VIRIDOMARUS
H000550,At what battle in 222 BC did Marcellus defeat the Gallic chieftain Viridomarus to win the Spolia Opima?,CLASTIDIUM
H000551,In what year did Marcellus defeat Viridomarus at Clastidium and win the Spolia Opima?,222 BC
H000552,Who won the first Spolia Opima by defeating Acron?,ROMULUS
H000553,Who did Romulus defeat to win the first Spolia Opima?,ACRON
H000554,Who defeated Tolumnius at Fidenae to win the second Spolia Opima,COSSUS
H000555,Who did Cossus defeat to win the second Spolia Opima?,TOLUMNIUS
H000556,At what battle in 426 BC did Cossus defeat Tolumnius and win the Spolia Opima?,FIDENAE
H000557,Who famously shouted `Eureka` and ran naked through the streets of Syracuse when he discovered the principle of buoyancy?,ARCHIMEDES
H000558,What did Archimedes shout as he ran naked through the streets of Syracuse after he discovered the principle of buoyancy?,EUREKA
H000559,Who said `don't disturb my circles` referring to his drawings in the sand when Roman soldiers came to kill him?,ARCHIMEDES
H000560,What did Archimedes say when the Romans soldiers came to kill him?,DON'T DISTUB MY CIRCLES
H000561,What brother of Hannibal defended Spain while Hannibal invaded Italy?,HASDRUBAL
H000562,What city in Spain did Scipio Africanus capture in 209 BC?,CARTHAGO NOVA
H000563,What Roman general captured Carthago Nova in 209 BC?,SCIPIO AFRICANUS
H000564,At what 207 BC was Hasdrubal killed while trying to bring reinforcements to Hannibal in Italy?,METAURUS RIVER
H000565,In what year was Hasdrubal killed at the Metaurus River while trying to bring reinforcments to Hannibal?,207 BC
H000566,What Roman general defeated and killed Hasdrubal at the Metaurus River in 207 BC?,CLAUDIUS NERO
H000567,Whose head was thrown into Hannibal's tent after he was killed at the Metaurus River?,HASDRUBAL'S
H000568,What king of Numidia aided Scipio Africanus in defeating Hannibal at Zama in 202 BC?,MASSINISSA
H000569,Whose Numidian cavalry assisted Scipio Africanus in defeating Hannibal at Zama in 202 BC?,MASSINISSA
H000570,At what battle in 202 BC did Massinissa help Scipio Africanus defeat Hannibal?,ZAMA
H000571,In what year did Scipio Africanus defeat Hannibal at Zama?,202 BC
H000572,At what battle in 203 BC did Scipio and Massinissa defeat and capture Syphax?,GREAT PLAINS
H000573,In what year did Scipio and Massinissa defeat and capture Syphax at the Great Plains?,203 BC
H000574,What former enemy of Rome became an advisor admiral for the Seleucid monarch Antiochus the Great in a war against Rome?,HANNIBAL
H000575,For what Seleucid monarch did Hannibal become an advisor admiral for?,ANTIOCHUS THE GREAT
H000576,At whose court did Hannibal commit suicide?,KING PRUSIAS
H000577,Who committed suicide at the court of King Prusias when the Romans were closing in on him?,HANNIBAL
H000578,What war did the Romans fight from 215–205 BC?,FIRST MACEDONIAN WAR
H000579,What were the years of the First Macedonian War?,215–205 BC
H000580,What king of Macedon allied with Hannibal and attacked Rome in 215 BC?,PHILIP V
H000581,With whom did Philip V of Macedon ally before attacking Rome in 215 BC?,HANNIBAL
H000582,What war did the Romans fight from 200–196 BC?,SECOND MACEDONIAN WAR
H000583,What were the years of the Second Macedonian War?,200–196 BC
H000584,What war began when Attalus I of Pergamum appealed to Rome for help against Philip V of Macedon?,SECOND MACEDONIAN WAR
H000585,What king of Pergamum appealed to Rome for help against Philip V in 200 BC?,ATTALUS I
H000586,At what battle in 197 BC did the Roman general Flamininus defeat Philip V?,CYNOSCEPHALAE
H000587,In what year did Flamininus defeat Philip V at Cynoscephalae?,197 BC
H000588,Who was the victorious Roman general at the Cynoscephalae?,FLAMININUS
H000589,What is the full name of Flamininus?,TITUS QUINCTIUS FLAMININUS
H000590,What does `Cynoscephalae` mean?,DOG'S HEADS
H000591,Who proclaimed freedom and independence for all the Greek states at the Isthmian Games of 196 BC?,FLAMININUS
H000592,At what event in 196 BC did Flamininus declare the freedom and independence of all the Greek states?,ISTHMIAN GAMES
H000593,In what year did Flamininus declare freedom and independence for all the Greek states at the Isthmian Games?,196 BC
H000594,What war did the Romans fight from 171–167 BC?,THIRD MACEDONIAN WAR
H000595,What were the years of the Third Macedonian War?,171–167 BC
H000596,What eldest son of Philip V rose to the throne and incited the Third Macedonian War?,PERSEUS
H000597,At what battle in 168 BC did the Roman general Aemilius Paullus defeat Perseus of Macedon?,PYDNA
H000598,In what year did Aemilius Paullus defeat Perseus of Macedon at Pydna?,168 BC
H000599,Who was the victorious Roman general at the Pydna in 168 BC?,AEMILIUS PAULLUS
H000600,After which war did Rome abolish the Madedonian monarchy and establish four independent republics of Macedon?,THIRD MACEDONIAN WAR
H000601,What war did the Romans fight from 149–148 BC?,FOURTH MACEDONIAN WAR
H000602,What were the years of the Fourth Macedonian War?,149–148 BC
H000603,What upstart pretended to be the son of Perseus of Macedon and led a resistance against Rome?,ANDRISCUS
H000604,What war began when Andriscus pretended to be the son of Perseus of Macedon and unite the independent republics?,FOURTH MACEDONIAN WAR
H000605,In what year did Rome annex Macedonia as a Roman province?,148 BC
H000606,What war did the Romans fight from 192–188 BC?,SYRIAN WAR / WAR WITH ANTIOCHUS
H000607,What were the years of the War with Antiochus?,192–188 BC
H000608,What Seleucid monarch invaded Greece which sparked a war with Rome in 192 BC?,ANTIOCHUS III
H000609,At what battle in 191 BC did the Roman general Glabrio defeat Antiochus III?,THERMOPYLAE
H000610,What does `Thermopylae` mean?,HOT GATE
H000611,In what year did the Roman general Glabrio defeat Antiochus III at Thermopylae?,191 BC
H000612,What Roman general was victorious at Thermopylae against Antiochus III?,GLABRIO
H000613,What refugee did Antiochus III use as an advisor and admiral> albeit ineffective?,HANNIBAL
H000614,What battle in 190 BC was the last notable Roman naval victory over a foreign enemy?,MYONESSUS
H000615,Where did Rome earn its last notable naval victory over a foreign enemy in 190 BC?,MYONESSUS
H000616,At what battle in 190 BC did the Romans defeat Antiochus III and earn its last notable naval victory over a foreign fleet?,MYONESSUS
H000617,In what year did the Romans defeat Antiochus III at Myonessus?,190 BC
H000618,At what battle in 190 BC did Publius and Lucius Scipio defeat Antiochus III?,MAGNESIA
H000619,In what year did Publius & Lucius Scipio issue a final defeat to Antiochus III?,190 BC
H000620,What two brothers defeated Antiochus III at Magnesia in 190 BC?,PUBLIUS & LUCIUS SCIPIO
H000621,What treaty of 188 BC ended the war against Antiochus III?,TREATY OF APAMEA
H000622,In what year did the Treaty of Apamea officially end the war against Antiochus III?,188 BC
H000623,What was the full name of Cato the Elder?,MARCUS PORCIUS CATO
H000624,What Roman censor ended every speech with the line `Carthago delenda est`?,CATO THE ELDER
H000625,What does `Carthago delenda est` mean?,CARTHAGE MUST BE DESTROYED
H000626,What `war` did the Romans fight from 149–146 BC?,THIRD PUNIC WAR
H000627,What were the years of the Third Punic `War`?,149–146 BC
H000628,In what year was Carthage completely destroyed?,146 BC
H000629,What Roman statesman was known for his stern manner> high moral standards> and love of cabbage?,CATO THE ELDER
H000630,What novus homo ended all of his speeches with the line `Carthago delenda est`?,CATO THE ELDER
H000631,What is a novus homo?,FIRST PERSON IN FAMILY TO EARN CONSULSHIP
H000632,What war began when Massinissa began making raids against Carthage causing it to retaliate and violate its treaty with the Romans?,THIRD PUNIC WAR
H000633,Who caused Third Punic War by making raids into Carthaginian territory which forced them to retaliate and violate their treaty with the Romans?,MASSINISSA
H000634,What adopted grandson of Scipio Africanus destroyed Carthage in 146 BC?,SCIPIO AEMILIANUS
H000635,What did Scipio Aemilianus do to ensure Carthage would never be able to grow crops again?,SALTED THE FIELDS
H000636,Who reportedly wept after salting the Carthaginian land because he recognized a similar fate for Rome one day?,SCIPIO AEMILIANUS
